Race,Lap,Algorithm (s),Hand (s),Error (s),TS Gaps,D Spikes,B Anomalies,R Inconsistency,R Penalty,Lat RMSE,Long RMSE,Confidence
JO (a),1,76.44,76.45,0.01,0,1,1,0,0,395.05,684.43,94.16
JO (a),2,79.42,79.49,0.07,1,0,0,0,0,403.23,651.59,96.83
JO (a),3,78.63,78.39,0.24,1,1,0,0,0,402.07,659.84,91.37
JO (a),4,76.16,76.69,0.53,1,1,0,0,0,404.25,652.54,90.27
L 3200 (a),1,75.71,77,1.29,0,5,0,0,0,4324.92,650.8,80.85
L 3200 (a),2,85.26,86.33,1.07,1,2,0,0,5,4012.46,658.6,70.42
L 3200 (a),3,86.09,84.27,1.82,1,2,0,0,0,4820.37,664.35,80.36
L 3200 (a),4,87.25,88,0.75,1,0,0,0,0,5576.14,660.62,94.07
L 3200 (a),5,87.35,87.35,0,1,1,0,0,0,4888.85,664.31,90.81
L 3200 (a),6,88.18,88.25,0.07,1,0,0,0,0,4003.28,667.31,96.16
L 3200 (a),7,89.98,90.29,0.31,1,2,0,0,0,4295.14,669.87,88.63
L 3200 (a),8,84.61,84.49,0.12,1,0,0,0,0,4295.14,669.87,95.73
W 1600 (s),1,73.83,80,3.17,0,8,0,0,0,496.45,651.3,80.7
W 1600 (s),2,80.34,83,1.66,1,1,0,0,0,490.37,665,91.18
W 1600 (s),3,82.82,80,1.82,1,2,0,0,0,494.82,662.28,87.38
W 1600 (s),4,79.45,75,1.55,1,4,0,0,5,495.88,665.52,70.63
